move player-01 pos-5-5 pos-5-4 dir-up (0)
move player-01 pos-5-4 pos-5-3 dir-up (0)
move player-01 pos-5-3 pos-4-3 dir-left (0)
move player-01 pos-4-3 pos-4-2 dir-up (0)
move player-01 pos-4-2 pos-3-2 dir-left (0)
move player-01 pos-3-2 pos-2-2 dir-left (0)
move player-01 pos-2-2 pos-2-3 dir-down (0)
push-to-nongoal player-01 stone-01 pos-2-3 pos-3-3 pos-4-3 dir-right (1)
move player-01 pos-3-3 pos-3-4 dir-down (0)
push-to-nongoal player-01 stone-02 pos-3-4 pos-4-4 pos-5-4 dir-right (1)
move player-01 pos-4-4 pos-3-4 dir-left (0)
move player-01 pos-3-4 pos-3-3 dir-up (0)
move player-01 pos-3-3 pos-3-2 dir-up (0)
move player-01 pos-3-2 pos-4-2 dir-right (0)
push-to-nongoal player-01 stone-01 pos-4-2 pos-4-3 pos-4-4 dir-down (1)
move player-01 pos-4-3 pos-5-3 dir-right (0)
push-to-nongoal player-01 stone-02 pos-5-3 pos-5-4 pos-5-5 dir-down (1)
push-to-nongoal player-01 stone-02 pos-5-4 pos-5-5 pos-5-6 dir-down (1)
move player-01 pos-5-5 pos-6-5 dir-right (0)
move player-01 pos-6-5 pos-6-6 dir-down (0)
move player-01 pos-6-6 pos-6-7 dir-down (0)
move player-01 pos-6-7 pos-5-7 dir-left (0)
move player-01 pos-5-7 pos-4-7 dir-left (0)
move player-01 pos-4-7 pos-4-6 dir-up (0)
push-to-goal player-01 stone-02 pos-4-6 pos-5-6 pos-6-6 dir-right (1)
move player-01 pos-5-6 pos-5-5 dir-up (0)
move player-01 pos-5-5 pos-5-4 dir-up (0)
move player-01 pos-5-4 pos-5-3 dir-up (0)
move player-01 pos-5-3 pos-4-3 dir-left (0)
move player-01 pos-4-3 pos-3-3 dir-left (0)
move player-01 pos-3-3 pos-3-4 dir-down (0)
push-to-nongoal player-01 stone-01 pos-3-4 pos-4-4 pos-5-4 dir-right (1)
move player-01 pos-4-4 pos-4-3 dir-up (0)
move player-01 pos-4-3 pos-5-3 dir-right (0)
push-to-nongoal player-01 stone-01 pos-5-3 pos-5-4 pos-5-5 dir-down (1)
push-to-nongoal player-01 stone-01 pos-5-4 pos-5-5 pos-5-6 dir-down (1)
move player-01 pos-5-5 pos-6-5 dir-right (0)
move player-01 pos-6-5 pos-7-5 dir-right (0)
move player-01 pos-7-5 pos-8-5 dir-right (0)
move player-01 pos-8-5 pos-8-6 dir-down (0)
move player-01 pos-8-6 pos-8-7 dir-down (0)
move player-01 pos-8-7 pos-7-7 dir-left (0)
move player-01 pos-7-7 pos-6-7 dir-left (0)
push-to-goal player-01 stone-02 pos-6-7 pos-6-6 pos-6-5 dir-up (1)
move player-01 pos-6-6 pos-6-7 dir-down (0)
move player-01 pos-6-7 pos-5-7 dir-left (0)
move player-01 pos-5-7 pos-4-7 dir-left (0)
move player-01 pos-4-7 pos-4-6 dir-up (0)
push-to-goal player-01 stone-01 pos-4-6 pos-5-6 pos-6-6 dir-right (1)
